0	Avocado
100	Average
3330254	Hongyang Li and Yuanfang Guan
3393128	Aug2019Imputation
3388185	LiPingChun
3393417	Hongyang Li and Yuanfang Guan v1
3393418	Hongyang Li and Yuanfang Guan v2
3379072	BrokenNodes
3391272	UIOWA Michaelson Lab
3379312	CostaLab
3389318	Song Lab
3393574	Lavawizard
3393457	imp
3393756	imp1
3393606	BrokenNodes_v2
3393817	BrokenNodes_v3
3344979	NittanyLions
3393458	CUWA
3393579	Song Lab 2
3393580	Song Lab 3
3393847	Guacamole
3393860	CUImpute1
3393861	ICU
3393851	NittanyLions2
3386902	KKT-ENCODE-Impute
